"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
31,70,"SLV","El Salvador",3,"Chalatenango",31,"El Paraíso","Municipio","Municipality",NA,NA
32,70,"SLV","El Salvador",3,"Chalatenango",32,"Embalse Cerron Grande","Water body","Water body",NA,NA
33,70,"SLV","El Salvador",3,"Chalatenango",33,"La Laguna","Municipio","Municipality",NA,NA
34,70,"SLV","El Salvador",3,"Chalatenango",34,"La Palma","Municipio","Municipality",NA,NA
35,70,"SLV","El Salvador",3,"Chalatenango",35,"La Reina","Municipio","Municipality",NA,NA
36,70,"SLV","El Salvador",3,"Chalatenango",36,"Las Vueltas","Municipio","Municipality",NA,NA
37,70,"SLV","El Salvador",3,"Chalatenango",37,"Nombre de Jesús","Municipio","Municipality",NA,NA
38,70,"SLV","El Salvador",3,"Chalatenango",38,"Nueva Concepción","Municipio","Municipality",NA,NA
39,70,"SLV","El Salvador",3,"Chalatenango",39,"Nueva Trinidad","Municipio","Municipality",NA,NA
40,70,"SLV","El Salvador",3,"Chalatenango",40,"Ojos de Agua","Municipio","Municipality",NA,NA
41,70,"SLV","El Salvador",3,"Chalatenango",41,"Potonico","Municipio","Municipality",NA,NA
42,70,"SLV","El Salvador",3,"Chalatenango",42,"San Antonio de la Cruz","Municipio","Municipality",NA,NA
43,70,"SLV","El Salvador",3,"Chalatenango",43,"San Antonio Los Ranchos","Municipio","Municipality",NA,NA
44,70,"SLV","El Salvador",3,"Chalatenango",44,"San Fernando","Municipio","Municipality",NA,NA
45,70,"SLV","El Salvador",3,"Chalatenango",45,"San Francisco Lempa","Municipio","Municipality",NA,NA
46,70,"SLV","El Salvador",3,"Chalatenango",46,"San Francisco Morazán","Municipio","Municipality",NA,NA
47,70,"SLV","El Salvador",3,"Chalatenango",47,"San Ignacio","Municipio","Municipality",NA,NA
48,70,"SLV","El Salvador",3,"Chalatenango",48,"San Isidro Labrador","Municipio","Municipality",NA,NA
49,70,"SLV","El Salvador",3,"Chalatenango",49,"San José Cancasque","Municipio","Municipality",NA,NA
50,70,"SLV","El Salvador",3,"Chalatenango",50,"San José Las Flores","Municipio","Municipality",NA,NA
51,70,"SLV","El Salvador",3,"Chalatenango",51,"San Luis del Carmen","Municipio","Municipality",NA,NA
52,70,"SLV","El Salvador",3,"Chalatenango",52,"San Miguel de Mercedes","Municipio","Municipality",NA,NA
53,70,"SLV","El Salvador",3,"Chalatenango",53,"San Rafael","Municipio","Municipality",NA,NA
54,70,"SLV","El Salvador",3,"Chalatenango",54,"Santa Rita","Municipio","Municipality",NA,NA
55,70,"SLV","El Salvador",3,"Chalatenango",55,"Tejutla","Municipio","Municipality",NA,NA
56,70,"SLV","El Salvador",4,"Cuscatlán",56,"Candelaria","Municipio","Municipality",NA,NA
57,70,"SLV","El Salvador",4,"Cuscatlán",57,"Cojutepeque","Municipio","Municipality",NA,NA
58,70,"SLV","El Salvador",4,"Cuscatlán",58,"El Carmen","Municipio","Municipality",NA,NA
59,70,"SLV","El Salvador",4,"Cuscatlán",59,"El Rosario","Municipio","Municipality",NA,NA
60,70,"SLV","El Salvador",4,"Cuscatlán",60,"Monte San Juan","Municipio","Municipality",NA,NA
61,70,"SLV","El Salvador",4,"Cuscatlán",61,"Oratorio de Concepción","Municipio","Municipality",NA,NA
62,70,"SLV","El Salvador",4,"Cuscatlán",62,"San Bartolomé Perulapía","Municipio","Municipality",NA,NA
63,70,"SLV","El Salvador",4,"Cuscatlán",63,"San Cristóbal","Municipio","Municipality",NA,NA
64,70,"SLV","El Salvador",4,"Cuscatlán",64,"San José Guayabal","Municipio","Municipality",NA,NA
65,70,"SLV","El Salvador",4,"Cuscatlán",65,"San Pedro Perulapán","Municipio","Municipality",NA,NA
66,70,"SLV","El Salvador",4,"Cuscatlán",66,"San Rafael Cedros","Municipio","Municipality",NA,"San Rafael Cedro"
67,70,"SLV","El Salvador",4,"Cuscatlán",67,"San Ramón","Municipio","Municipality",NA,NA
68,70,"SLV","El Salvador",4,"Cuscatlán",68,"Santa Cruz Analquito","Municipio","Municipality",NA,NA
69,70,"SLV","El Salvador",4,"Cuscatlán",69,"Santa Cruz Michapa","Municipio","Municipality",NA,NA
70,70,"SLV","El Salvador",4,"Cuscatlán",70,"Suchitoto","Municipio","Municipality",NA,NA
71,70,"SLV","El Salvador",4,"Cuscatlán",71,"Tenancingo","Municipio","Municipality",NA,NA
72,70,"SLV","El Salvador",5,"La Libertad",72,"Antiguo Cuscatlán","Municipio","Municipality",NA,NA
73,70,"SLV","El Salvador",5,"La Libertad",73,"Chiltiupán","Municipio","Municipality",NA,NA
74,70,"SLV","El Salvador",5,"La Libertad",74,"Ciudad Arce","Municipio","Municipality",NA,NA
75,70,"SLV","El Salvador",5,"La Libertad",75,"Colón","Municipio","Municipality",NA,NA
76,70,"SLV","El Salvador",5,"La Libertad",76,"Comasagua","Municipio","Municipality",NA,NA
77,70,"SLV","El Salvador",5,"La Libertad",77,"Huizúcar","Municipio","Municipality",NA,NA
78,70,"SLV","El Salvador",5,"La Libertad",78,"Jayaque","Municipio","Municipality",NA,NA
79,70,"SLV","El Salvador",5,"La Libertad",79,"Jicalapa","Municipio","Municipality",NA,NA
80,70,"SLV","El Salvador",5,"La Libertad",80,"La Libertad","Municipio","Municipality",NA,NA
81,70,"SLV","El Salvador",5,"La Libertad",81,"Nueva San Salvador","Municipio","Municipality",NA,NA
82,70,"SLV","El Salvador",5,"La Libertad",82,"Nuevo Cuscatlán","Municipio","Municipality",NA,NA
83,70,"SLV","El Salvador",5,"La Libertad",83,"Opico","Municipio","Municipality",NA,"San Juan Opico"
84,70,"SLV","El Salvador",5,"La Libertad",84,"Quezaltepeque","Municipio","Municipality",NA,NA
85,70,"SLV","El Salvador",5,"La Libertad",85,"Sacacoyo","Municipio","Municipality",NA,NA
86,70,"SLV","El Salvador",5,"La Libertad",86,"San José Villanueva","Municipio","Municipality",NA,NA
87,70,"SLV","El Salvador",5,"La Libertad",87,"San Matías","Municipio","Municipality",NA,NA
88,70,"SLV","El Salvador",5,"La Libertad",88,"San Pablo Tacachico","Municipio","Municipality",NA,NA
89,70,"SLV","El Salvador",5,"La Libertad",89,"Talnique","Municipio","Municipality",NA,NA
90,70,"SLV","El Salvador",5,"La Libertad",90,"Tamanique","Municipio","Municipality",NA,NA
91,70,"SLV","El Salvador",5,"La Libertad",91,"Teotepeque","Municipio","Municipality",NA,NA
92,70,"SLV","El Salvador",5,"La Libertad",92,"Tepecoyo","Municipio","Municipality",NA,NA
93,70,"SLV","El Salvador",5,"La Libertad",93,"Zaragoza","Municipio","Municipality",NA,NA
94,70,"SLV","El Salvador",6,"La Paz",94,"Cuyultitán","Municipio","Municipality",NA,NA
95,70,"SLV","El Salvador",6,"La Paz",95,"El Rosario","Municipio","Municipality",NA,NA
96,70,"SLV","El Salvador",6,"La Paz",96,"Jerusalén","Municipio","Municipality",NA,NA
97,70,"SLV","El Salvador",6,"La Paz",97,"Mercedes La Ceiba","Municipio","Municipality",NA,"Mercedes de Ceiba"
98,70,"SLV","El Salvador",6,"La Paz",98,"Olocuilta","Municipio","Municipality",NA,NA
99,70,"SLV","El Salvador",6,"La Paz",99,"Paraíso de Osorio","Municipio","Municipality",NA,NA
100,70,"SLV","El Salvador",6,"La Paz",100,"San Antonio Masahuat","Municipio","Municipality",NA,NA
101,70,"SLV","El Salvador",6,"La Paz",101,"San Emigdio","Municipio","Municipality",NA,NA
102,70,"SLV","El Salvador",6,"La Paz",102,"San Francisco Chinameca","Municipio","Municipality",NA,NA
103,70,"SLV","El Salvador",6,"La Paz",103,"San Juan Nonualco","Municipio","Municipality",NA,NA
104,70,"SLV","El Salvador",6,"La Paz",104,"San Juan Talpa","Municipio","Municipality",NA,NA
105,70,"SLV","El Salvador",6,"La Paz",105,"San Juan Tepezontes","Municipio","Municipality",NA,NA
106,70,"SLV","El Salvador",6,"La Paz",106,"San Luis La Herradura","Municipio","Municipality",NA,"San Luis de la Herradura"
107,70,"SLV","El Salvador",6,"La Paz",107,"San Luis Talpa","Municipio","Municipality",NA,"San Luis"
108,70,"SLV","El Salvador",6,"La Paz",108,"San Miguel Tepezontes","Municipio","Municipality",NA,NA
109,70,"SLV","El Salvador",6,"La Paz",109,"San Pedro Masahuat","Municipio","Municipality",NA,NA
110,70,"SLV","El Salvador",6,"La Paz",110,"San Pedro Nonualco","Municipio","Municipality",NA,NA
111,70,"SLV","El Salvador",6,"La Paz",111,"San Rafael Obrajuelo","Municipio","Municipality",NA,NA
112,70,"SLV","El Salvador",6,"La Paz",112,"Santa María Ostuma","Municipio","Municipality",NA,NA
113,70,"SLV","El Salvador",6,"La Paz",113,"Santiago Nonualco","Municipio","Municipality",NA,NA
114,70,"SLV","El Salvador",6,"La Paz",114,"Tapalhuaca","Municipio","Municipality",NA,NA
115,70,"SLV","El Salvador",6,"La Paz",115,"Zacatecoluca","Municipio","Municipality",NA,NA
116,70,"SLV","El Salvador",7,"La Unión",116,"Anamorós","Municipio","Municipality",NA,NA
117,70,"SLV","El Salvador",7,"La Unión",117,"Bolívar","Municipio","Municipality",NA,NA
118,70,"SLV","El Salvador",7,"La Unión",118,"Concepción de Oriente","Municipio","Municipality",NA,NA
119,70,"SLV","El Salvador",7,"La Unión",119,"Conchagua","Municipio","Municipality",NA,NA
120,70,"SLV","El Salvador",7,"La Unión",120,"El Carmen","Municipio","Municipality",NA,NA
121,70,"SLV","El Salvador",7,"La Unión",121,"El Sauce","Municipio","Municipality",NA,NA
122,70,"SLV","El Salvador",7,"La Unión",122,"Intipucá","Municipio","Municipality",NA,NA
123,70,"SLV","El Salvador",7,"La Unión",123,"La Unión","Municipio","Municipality",NA,NA
124,70,"SLV","El Salvador",7,"La Unión",124,"Lislique","Municipio","Municipality",NA,NA
125,70,"SLV","El Salvador",7,"La Unión",125,"Nueva Esparta","Municipio","Municipality",NA,NA
126,70,"SLV","El Salvador",7,"La Unión",126,"Pasaquina","Municipio","Municipality",NA,NA
127,70,"SLV","El Salvador",7,"La Unión",127,"Polorós","Municipio","Municipality",NA,NA
128,70,"SLV","El Salvador",7,"La Unión",128,"San Alejo","Municipio","Municipality",NA,NA
129,70,"SLV","El Salvador",7,"La Unión",129,"San José","Municipio","Municipality",NA,NA
130,70,"SLV","El Salvador",7,"La Unión",130,"Santa Rosa de Lima","Municipio","Municipality",NA,NA
131,70,"SLV","El Salvador",7,"La Unión",131,"Yayantique","Municipio","Municipality",NA,NA
132,70,"SLV","El Salvador",7,"La Unión",132,"Yucuaiquín","Municipio","Municipality",NA,NA
133,70,"SLV","El Salvador",8,"Morazán",133,"Arambala","Municipio","Municipality",NA,NA
134,70,"SLV","El Salvador",8,"Morazán",134,"Cacaopera","Municipio","Municipality",NA,NA
135,70,"SLV","El Salvador",8,"Morazán",135,"Chilanga","Municipio","Municipality",NA,NA
136,70,"SLV","El Salvador",8,"Morazán",136,"Corinto","Municipio","Municipality",NA,NA
137,70,"SLV","El Salvador",8,"Morazán",137,"Delicias de Concepción","Municipio","Municipality",NA,NA
138,70,"SLV","El Salvador",8,"Morazán",138,"El Divisadero","Municipio","Municipality",NA,NA
139,70,"SLV","El Salvador",8,"Morazán",139,"El Rosario","Municipio","Municipality",NA,NA
140,70,"SLV","El Salvador",8,"Morazán",140,"Gualococti","Municipio","Municipality",NA,NA
141,70,"SLV","El Salvador",8,"Morazán",141,"Guatajiagua","Municipio","Municipality",NA,NA
142,70,"SLV","El Salvador",8,"Morazán",142,"Joateca","Municipio","Municipality",NA,NA
143,70,"SLV","El Salvador",8,"Morazán",143,"Jocoaitique","Municipio","Municipality",NA,NA
144,70,"SLV","El Salvador",8,"Morazán",144,"Jocoro","Municipio","Municipality",NA,NA
145,70,"SLV","El Salvador",8,"Morazán",145,"Lolotiquillo","Municipio","Municipality",NA,NA
146,70,"SLV","El Salvador",8,"Morazán",146,"Meanguera","Municipio","Municipality",NA,NA
147,70,"SLV","El Salvador",8,"Morazán",147,"Osicala","Municipio","Municipality",NA,NA
148,70,"SLV","El Salvador",8,"Morazán",148,"Perquín","Municipio","Municipality",NA,NA
149,70,"SLV","El Salvador",8,"Morazán",149,"San Carlos","Municipio","Municipality",NA,NA
150,70,"SLV","El Salvador",8,"Morazán",150,"San Fernando","Municipio","Municipality",NA,NA
151,70,"SLV","El Salvador",8,"Morazán",151,"San Francisco Gotera","Municipio","Municipality",NA,"San Francisco"
152,70,"SLV","El Salvador",8,"Morazán",152,"San Isidro","Municipio","Municipality",NA,NA
153,70,"SLV","El Salvador",8,"Morazán",153,"San Simón","Municipio","Municipality",NA,NA
154,70,"SLV","El Salvador",8,"Morazán",154,"Sensembra","Municipio","Municipality",NA,NA
155,70,"SLV","El Salvador",8,"Morazán",155,"Sociedad","Municipio","Municipality",NA,NA
156,70,"SLV","El Salvador",8,"Morazán",156,"Torola","Municipio","Municipality",NA,NA
157,70,"SLV","El Salvador",8,"Morazán",157,"Yamabal","Municipio","Municipality",NA,NA
158,70,"SLV","El Salvador",8,"Morazán",158,"Yoloaiquín","Municipio","Municipality",NA,NA
159,70,"SLV","El Salvador",9,"San Miguel",159,"Carolina","Municipio","Municipality",NA,NA
160,70,"SLV","El Salvador",9,"San Miguel",160,"Chapeltique","Municipio","Municipality",NA,NA
161,70,"SLV","El Salvador",9,"San Miguel",161,"Chinameca","Municipio","Municipality",NA,NA
162,70,"SLV","El Salvador",9,"San Miguel",162,"Chirilagua","Municipio","Municipality",NA,NA
163,70,"SLV","El Salvador",9,"San Miguel",163,"Ciudad Barrios","Municipio","Municipality",NA,NA
164,70,"SLV","El Salvador",9,"San Miguel",164,"Comacarán","Municipio","Municipality",NA,NA
165,70,"SLV","El Salvador",9,"San Miguel",165,"El Tránsito","Municipio","Municipality",NA,NA
166,70,"SLV","El Salvador",9,"San Miguel",166,"Lolotique","Municipio","Municipality",NA,NA
167,70,"SLV","El Salvador",9,"San Miguel",167,"Moncagua","Municipio","Municipality",NA,NA
168,70,"SLV","El Salvador",9,"San Miguel",168,"Nueva Guadalupe","Municipio","Municipality",NA,NA
169,70,"SLV","El Salvador",9,"San Miguel",169,"Nuevo Edén de San Juan","Municipio","Municipality",NA,NA
170,70,"SLV","El Salvador",9,"San Miguel",170,"Quelepa","Municipio","Municipality",NA,NA
171,70,"SLV","El Salvador",9,"San Miguel",171,"San Antonio","Municipio","Municipality",NA,NA
172,70,"SLV","El Salvador",9,"San Miguel",172,"San Gerardo","Municipio","Municipality",NA,NA
173,70,"SLV","El Salvador",9,"San Miguel",173,"San Jorge","Municipio","Municipality",NA,NA
174,70,"SLV","El Salvador",9,"San Miguel",174,"San Luis de la Reina","Municipio","Municipality",NA,NA
175,70,"SLV","El Salvador",9,"San Miguel",175,"San Miguel","Municipio","Municipality",NA,NA
176,70,"SLV","El Salvador",9,"San Miguel",176,"San Rafael","Municipio","Municipality",NA,"San Rafael Oriente"
177,70,"SLV","El Salvador",9,"San Miguel",177,"Sesori","Municipio","Municipality",NA,NA
178,70,"SLV","El Salvador",9,"San Miguel",178,"Uluazapa","Municipio","Municipality",NA,NA
179,70,"SLV","El Salvador",10,"San Salvador",179,"Aguilares","Municipio","Municipality",NA,NA
180,70,"SLV","El Salvador",10,"San Salvador",180,"Apopa","Municipio","Municipality",NA,NA
181,70,"SLV","El Salvador",10,"San Salvador",181,"Ayutuxtepeque","Municipio","Municipality",NA,NA
182,70,"SLV","El Salvador",10,"San Salvador",182,"Cuscatancingo","Municipio","Municipality",NA,NA
183,70,"SLV","El Salvador",10,"San Salvador",183,"Delgado","Municipio","Municipality",NA,NA
184,70,"SLV","El Salvador",10,"San Salvador",184,"El Paisnal","Municipio","Municipality",NA,NA
185,70,"SLV","El Salvador",10,"San Salvador",185,"Guazapa","Municipio","Municipality",NA,NA
186,70,"SLV","El Salvador",10,"San Salvador",186,"Ilopango","Municipio","Municipality",NA,NA
187,70,"SLV","El Salvador",10,"San Salvador",187,"Lago de Llopango","Water body","Water body",NA,NA
188,70,"SLV","El Salvador",10,"San Salvador",188,"Mejicanos","Municipio","Municipality",NA,NA
189,70,"SLV","El Salvador",10,"San Salvador",189,"Nejapa","Municipio","Municipality",NA,NA
190,70,"SLV","El Salvador",10,"San Salvador",190,"Panchimalco","Municipio","Municipality",NA,NA
191,70,"SLV","El Salvador",10,"San Salvador",191,"Rosario de Mora","Municipio","Municipality",NA,NA
192,70,"SLV","El Salvador",10,"San Salvador",192,"San Marcos","Municipio","Municipality",NA,NA
193,70,"SLV","El Salvador",10,"San Salvador",193,"San Martín","Municipio","Municipality",NA,NA
194,70,"SLV","El Salvador",10,"San Salvador",194,"San Salvador","Municipio","Municipality",NA,NA
195,70,"SLV","El Salvador",10,"San Salvador",195,"Santiago Texacuangos","Municipio","Municipality",NA,"Santiago Texacuango"
196,70,"SLV","El Salvador",10,"San Salvador",196,"Santo Tomás","Municipio","Municipality",NA,NA
197,70,"SLV","El Salvador",10,"San Salvador",197,"Soyapango","Municipio","Municipality",NA,NA
198,70,"SLV","El Salvador",10,"San Salvador",198,"Tonacatepeque","Municipio","Municipality",NA,NA
199,70,"SLV","El Salvador",11,"San Vicente",199,"Apastepeque","Municipio","Municipality",NA,NA
200,70,"SLV","El Salvador",11,"San Vicente",200,"Guadalupe","Municipio","Municipality",NA,NA
201,70,"SLV","El Salvador",11,"San Vicente",201,"San Cayetano Istepeque","Municipio","Municipality",NA,NA
202,70,"SLV","El Salvador",11,"San Vicente",202,"San Esteban Catarina","Municipio","Municipality",NA,NA
203,70,"SLV","El Salvador",11,"San Vicente",203,"San Ildefonso","Municipio","Municipality",NA,NA
204,70,"SLV","El Salvador",11,"San Vicente",204,"San Lorenzo","Municipio","Municipality",NA,NA
205,70,"SLV","El Salvador",11,"San Vicente",205,"San Sebastián","Municipio","Municipality",NA,NA
206,70,"SLV","El Salvador",11,"San Vicente",206,"San Vicente","Municipio","Municipality",NA,NA
207,70,"SLV","El Salvador",11,"San Vicente",207,"Santa Clara","Municipio","Municipality",NA,NA
208,70,"SLV","El Salvador",11,"San Vicente",208,"Santo Domingo","Municipio","Municipality",NA,NA
209,70,"SLV","El Salvador",11,"San Vicente",209,"Tecoluca","Municipio","Municipality",NA,NA
210,70,"SLV","El Salvador",11,"San Vicente",210,"Tepetitán","Municipio","Municipality",NA,NA
211,70,"SLV","El Salvador",11,"San Vicente",211,"Verapaz","Municipio","Municipality",NA,NA
212,70,"SLV","El Salvador",12,"Santa Ana",212,"Candelaria de la Frontera","Municipio","Municipality",NA,NA
213,70,"SLV","El Salvador",12,"Santa Ana",213,"Chalchuapa","Municipio","Municipality",NA,NA
214,70,"SLV","El Salvador",12,"Santa Ana",214,"Coatepeque","Municipio","Municipality",NA,NA
215,70,"SLV","El Salvador",12,"Santa Ana",215,"El Congo","Municipio","Municipality",NA,NA
216,70,"SLV","El Salvador",12,"Santa Ana",216,"El Porvenir","Municipio","Municipality",NA,NA
217,70,"SLV","El Salvador",12,"Santa Ana",217,"Lago de Coatepeque","Water body","Water body",NA,NA
218,70,"SLV","El Salvador",12,"Santa Ana",218,"Lago de Guija","Water body","Water body",NA,NA
219,70,"SLV","El Salvador",12,"Santa Ana",219,"Masahuat","Municipio","Municipality",NA,NA
220,70,"SLV","El Salvador",12,"Santa Ana",220,"Metapán","Municipio","Municipality",NA,NA
221,70,"SLV","El Salvador",12,"Santa Ana",221,"San Antonio Pajonal","Municipio","Municipality",NA,NA
222,70,"SLV","El Salvador",12,"Santa Ana",222,"San Sebastián Salitrillo","Municipio","Municipality",NA,NA
223,70,"SLV","El Salvador",12,"Santa Ana",223,"Santa Ana","Municipio","Municipality",NA,NA
224,70,"SLV","El Salvador",12,"Santa Ana",224,"Santa Rosa Guachipilín","Municipio","Municipality",NA,NA
225,70,"SLV","El Salvador",12,"Santa Ana",225,"Santiago de la Frontera","Municipio","Municipality",NA,NA
226,70,"SLV","El Salvador",12,"Santa Ana",226,"Texistepeque","Municipio","Municipality",NA,NA
227,70,"SLV","El Salvador",13,"Sonsonate",227,"Acajutla","Municipio","Municipality",NA,NA
228,70,"SLV","El Salvador",13,"Sonsonate",228,"Armenia","Municipio","Municipality",NA,NA
229,70,"SLV","El Salvador",13,"Sonsonate",229,"Caluco","Municipio","Municipality",NA,NA
230,70,"SLV","El Salvador",13,"Sonsonate",230,"Cuisnahuat","Municipio","Municipality",NA,NA
231,70,"SLV","El Salvador",13,"Sonsonate",231,"Izalco","Municipio","Municipality",NA,NA
232,70,"SLV","El Salvador",13,"Sonsonate",232,"Juayúa","Municipio","Municipality",NA,NA
233,70,"SLV","El Salvador",13,"Sonsonate",233,"Nahuizalco","Municipio","Municipality",NA,NA
234,70,"SLV","El Salvador",13,"Sonsonate",234,"Nahulingo","Municipio","Municipality",NA,NA
235,70,"SLV","El Salvador",13,"Sonsonate",235,"Salcoatitán","Municipio","Municipality",NA,NA
236,70,"SLV","El Salvador",13,"Sonsonate",236,"San Antonio del Monte","Municipio","Municipality",NA,NA
237,70,"SLV","El Salvador",13,"Sonsonate",237,"San Julián","Municipio","Municipality",NA,NA
238,70,"SLV","El Salvador",13,"Sonsonate",238,"Santa Catarina Masahuat","Municipio","Municipality",NA,NA
239,70,"SLV","El Salvador",13,"Sonsonate",239,"Santa Isabel Ishuatán","Municipio","Municipality",NA,NA
240,70,"SLV","El Salvador",13,"Sonsonate",240,"Santo Domingo","Municipio","Municipality",NA,"Santo Domingo de Guzman"
241,70,"SLV","El Salvador",13,"Sonsonate",241,"Sonsonate","Municipio","Municipality",NA,NA
242,70,"SLV","El Salvador",13,"Sonsonate",242,"Sonzacate","Municipio","Municipality",NA,NA
243,70,"SLV","El Salvador",14,"Usulután",243,"Alegría","Municipio","Municipality",NA,NA
244,70,"SLV","El Salvador",14,"Usulután",244,"Berlín","Municipio","Municipality",NA,NA
245,70,"SLV","El Salvador",14,"Usulután",245,"California","Municipio","Municipality",NA,NA
246,70,"SLV","El Salvador",14,"Usulután",246,"Concepción Batres","Municipio","Municipality",NA,NA
247,70,"SLV","El Salvador",14,"Usulután",247,"El Triunfo","Municipio","Municipality",NA,NA
248,70,"SLV","El Salvador",14,"Usulután",248,"Ereguayquín","Municipio","Municipality",NA,NA
249,70,"SLV","El Salvador",14,"Usulután",249,"Estanzuelas","Municipio","Municipality",NA,"Estezuelas"
250,70,"SLV","El Salvador",14,"Usulután",250,"Jiquilisco","Municipio","Municipality",NA,NA
251,70,"SLV","El Salvador",14,"Usulután",251,"Jucuapa","Municipio","Municipality",NA,NA
252,70,"SLV","El Salvador",14,"Usulután",252,"Jucuarán","Municipio","Municipality",NA,NA
253,70,"SLV","El Salvador",14,"Usulután",253,"Mercedes Umaña","Municipio","Municipality",NA,NA
254,70,"SLV","El Salvador",14,"Usulután",254,"Nueva Granada","Municipio","Municipality",NA,NA
255,70,"SLV","El Salvador",14,"Usulután",255,"Ozatlán","Municipio","Municipality",NA,NA
256,70,"SLV","El Salvador",14,"Usulután",256,"Puerto El Triunfo","Municipio","Municipality",NA,NA
257,70,"SLV","El Salvador",14,"Usulután",257,"San Agustín","Municipio","Municipality",NA,NA
258,70,"SLV","El Salvador",14,"Usulután",258,"San Buenaventura","Municipio","Municipality",NA,"San Buena Ventura"
259,70,"SLV","El Salvador",14,"Usulután",259,"San Dionisio","Municipio","Municipality",NA,NA
260,70,"SLV","El Salvador",14,"Usulután",260,"San Francisco Javier","Municipio","Municipality",NA,NA
261,70,"SLV","El Salvador",14,"Usulután",261,"Santa Elena","Municipio","Municipality",NA,NA
262,70,"SLV","El Salvador",14,"Usulután",262,"Santa María","Municipio","Municipality",NA,NA
263,70,"SLV","El Salvador",14,"Usulután",263,"Santiago de María","Municipio","Municipality",NA,NA
264,70,"SLV","El Salvador",14,"Usulután",264,"Tecapán","Municipio","Municipality",NA,NA
265,70,"SLV","El Salvador",14,"Usulután",265,"Usulután","Municipio","Municipality",NA,NA
